id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
779;116607;Vinaigre de cidre Elibio 75cl;https://www.etiketbio.eu/vinaigre-de-cidre-bio/25624-elibio-vinaigre-de-cidre-5-75cl-3760294961308.html;Vinaigre de cidre bio 75cl Elibio origine France;3760294961308;;471;2026-08-13 08:49:57
2268;116702;Huile essentielle clou de girofle Herbes et Traditions 10ml;https://www.etiketbio.eu/petits-bobos/26153-herbe-et-traditions-huile-essentielle-clous-de-girofle-10ml-3700006513265.html;Huile essentielle clous de girofle 10ml;3700006513265;;431;2026-08-13 13:00:59
845;11673;Soupe de poisson Bonneterre 800g;https://www.etiketbio.eu/soupes-de-poisson/8450-bonneterre-soupe-riche-en-poissons-800g-3396410015879.html;Soupe de poissons Bonneterre 800g;3396410015879;;788;2026-08-13 09:01:09
766;117170;Torsades blanches Elibio 500g;https://www.etiketbio.eu/pate-blanche/25625-elibio-pate-torsade-blanche-500gr-3760294961353.html;Pate torsade blanche 500gr;3760294961353;;0;2026-08-13 08:47:09
1538;117258;Gel douche plaisir de miel Douce Nature 500ml;https://www.etiketbio.eu/gels-douche/28983-gel-douche-plaisir-de-miel-500ml-3517360027273.html;Gel Douche Plaisir de Miel 500ml;3517360027273;;623;2026-08-13 11:48:26
780;117510;Muesli croquant chocolat noir Elibio 500g;https://www.etiketbio.eu/muesli-au-chocolat-bio/29959-muesli-croquant-chocolat-500g-3760294961346.html;Muesli croquant chocolat Elibio 500g;3760294961346;;779;2026-08-13 08:50:30
768;117513;Spaghetti blanches Elibio 500g;https://www.etiketbio.eu/pate-blanche/25627-elibio-spghetti-blanche-500gr-3760294961414.html;Spaghetti blanche 500gr;3760294961414;;208;2026-08-13 08:47:26
770;117730;Torsades demi-complètes Elibio 500g;https://www.etiketbio.eu/pate-demi-complete/25942-elibio-torsade-1-2-complete-500gr-elibio-3760294961360.html;Torsade 1/2 complete 500gr elibio;3760294961360;;137;2026-08-13 08:47:43
1716;11875;Pur jus de citron de Sicile Vitamont 25cl;https://www.etiketbio.eu/jus-de-citron-bio/21983-vitamont-jus-de-citron-25cl-3289196400178.html;Mini jus citron bio Vitamont 25cl;3289196400178;;365;2026-08-13 11:59:00
1467;11889;Huile de chanvre vierge Emile Noël 25cl;https://www.etiketbio.eu/huile-de-chanvre-bio/7392-emile-noel-huile-vierge-de-chanvre-25cl-3291960011107.html;Huile vierge de chanvre 25cl;3291960011107;;597;2026-08-13 10:48:59
1391;118933;Activateur biologique fosse septique Etamine du Lys 450g;https://www.etiketbio.eu/entretien-wc/27540-activateur-biologique-fosse-septique-450g-3538395113403.html;Activateur biologique fosse septique 450g;3538395113403;;528;2026-08-13 10:46:09
752;119068;Miel de fleurs sauvages Elibio 500g;https://www.etiketbio.eu/miels-pollen/30911-miel-de-fleurs-sauvages-france-500g-3760294961520.html;Miel de fleurs sauvages France Elibio 500g;3760294961520;;779;2026-08-13 08:43:45
746;119167;Boisson végétale riz nature Elibio 1l;https://www.etiketbio.eu/boisson-au-riz-bio/29957-boisson-riz-1l-fabriquee-en-france-3760294960936.html;Boisson riz bio Elibio 1L France;3760294960936;;464;2026-08-13 08:40:40
2184;119397;Pesto poivrons Prosain 185g;https://www.etiketbio.eu/pesto-bio/26957-pesto-poivron-185g-3335880003566.html;Pesto poivron 185g;3335880003566;;400;2026-08-13 12:42:09
3;119597;Lait de coco Priméal 225ml;https://www.etiketbio.eu/lait-de-coco-bio/15185-primeal-lait-de-coco-225ml-3380380083648.html;Lait de coco 225ml;3380380083648;;655;2026-08-12 12:52:56
1217;12008;Tamari sauce soja Danival 1l;https://www.etiketbio.eu/sauce-soja-bio/26971-bio-tamari-50cl-3431590002810.html;Bio tamari 50cl;3431590002810;;102;2026-08-13 10:10:01
508;120582;Concentré de tomate 22% Luce 100g;https://www.etiketbio.eu/sauce-tomate-nature/22630-luce-concentre-de-tomate-22-100g-3329489901705.html;Concentré de tomate bio Luce 100g;3329489901705;;769;2026-08-13 07:47:57
1330;120743;Muesli croustillant protéiné chocolat Favrichon 450g;https://www.etiketbio.eu/muesli-au-chocolat-bio/29050-muesli-croustillant-proteine-chocolat-450g-3111900350977.html;Muesli protéiné chocolat 450g - Favrichon;3111900350977;;714;2026-08-13 10:34:31
1795;121110;Kombucha immunité ananas curcuma Vitamont 75cl;https://www.etiketbio.eu/kombucha/30828-kombucha-immunite-ananas-curcuma-75cl-3289196810267.html;Kombucha immunité ananas curcuma 75cl – Vitamont;3289196810267;;1000;2026-08-13 12:05:40
1753;121111;Kombucha détox cassis hibiscus Vitamont 75cl;https://www.etiketbio.eu/kombucha/30827-kombucha-detox-cassis-hibiscus-75cl-3289196810250.html;Kombucha détox cassis hibiscus 75cl – Vitamont;3289196810250;;1000;2026-08-13 12:02:53
47;121176;Couscous blanc Priméal 1kg;https://www.etiketbio.eu/couscous-bio/8226-primeal-couscous-blanc-1kg-3380390100502.html;Couscous blanc 1kg;3380390100502;;614;2026-08-12 12:56:43
